InceptionResNetV2_accuracy,InceptionResNetV2_v_accuracy,InceptionResNetV2_loss,InceptionResNetV2_v_loss,InceptionResNetV2_precision,InceptionResNetV2_v_precision,InceptionResNetV2_recall ,InceptionResNetV2_v_recall,MobileNetV2_accuracy,MobileNetV2_v_accuracy,MobileNetV2_loss,MobileNetV2_v_loss,MobileNetV2_precision,MobileNetV2_v_precision,MobileNetV2_recall ,MobileNetV2_v_recall,EfficientNetB7_accuracy,EfficientNetB7_v_accuracy,EfficientNetB7_loss,EfficientNetB7_v_loss,EfficientNetB7_precision,EfficientNetB7_v_precision,EfficientNetB7_recall ,EfficientNetB7_v_recall,VGG19_accuracy,VGG19_v_accuracy,VGG19_loss,VGG19_v_loss,VGG19_precision,VGG19_v_precision,VGG19_recall ,VGG19_v_recall,CNN_loss,CNN_accuracy,CNN_precision,CNN_recall,CNN_v_loss,CNN_v_accuracy,CNN_v_precision,CNN_v_recall,EfficientNetB3_accuracy,EfficientNetB3_v_accuracy,EfficientNetB3_loss,EfficientNetB3_v_loss,EfficientNetB3_precision,EfficientNetB3_v_precision,EfficientNetB3_recall ,EfficientNetB3_v_recall,EfficientNetB5_accuracy,EfficientNetB5_v_accuracy,EfficientNetB5_loss,EfficientNetB5_v_loss,EfficientNetB5_precision,EfficientNetB5_v_precision,EfficientNetB5_recall ,EfficientNetB5_v_recall
0.697277725,0.707641959,0.879283428,1152.691284,0.814098895,0.756264865,0.585582435,0.670016348,0.713868439,0.638466954,0.832933545,3.038862705,0.815359712,0.650398672,0.618354976,0.629118979,0.675955117,0.534704387,0.932780266,1.107544303,0.773637712,0.726647973,0.613739908,0.66721195,0.606963456,0.616499186,2.541836023,1.178781629,0.611739635,0.616499186,0.486447006,0.616499186,1.422176957,0.534562469,0.607279539,0.436523259,1.32070756,0.518327057,0.656106532,0.335761279,0.694012403,0.732163727,0.865908384,0.735587597,0.806825519,0.808926463,0.586130261,0.648654997,0.630311549,0.301401883,1.016352892,1.714866877,0.804453611,0.860103607,0.502542496,0.077570096
0.769482434,0.620705783,0.657600999,0.978164077,0.849480331,0.712796211,0.682790041,0.527225971,0.784554243,0.639635444,0.625521481,1.335917473,0.852198184,0.667701066,0.713401079,0.603412032,0.765626788,0.749941587,0.681423187,0.749866903,0.833287716,0.824792981,0.711005986,0.74480021,0.614557803,0.616499186,1.208638787,1.210482001,0.617522717,0.616499186,0.520446301,0.616499186,1.051173449,0.624407351,0.734078407,0.522856295,1.35176599,0.520911634,0.659457147,0.365366548,0.760846674,0.730994165,0.682266831,0.746727824,0.843654573,0.810370803,0.678692579,0.628771901,0.691156685,0.752803743,0.848426163,0.701324165,0.849078059,0.86738795,0.56788826,0.655607462
0.780056059,0.519654126,0.634406567,25.53798294,0.852217436,0.118297271,0.706098855,0.117550828,0.796763659,0.576302886,0.596761644,1.806923866,0.859509826,0.583493292,0.727304578,0.56835711,0.786832571,0.790839016,0.624814451,0.633100927,0.850582421,0.853785872,0.742259622,0.76419723,0.614499331,0.616499186,1.203843832,1.171194673,0.62418592,0.616499186,0.531896234,0.614162207,0.949227273,0.649048865,0.770063818,0.536903739,1.337261081,0.477443606,0.666422307,0.213580832,0.785814524,0.802573085,0.620523155,0.593683779,0.852996588,0.8572191,0.714887142,0.751345038,0.734525681,0.772196233,0.760380387,0.65026468,0.841057003,0.819027901,0.626921475,0.74018693
0.784554243,0.702734292,0.619381607,26.24282646,0.856741965,0.727023661,0.713401079,0.682168722,0.811017632,0.532367349,0.565000772,1.742264271,0.866040051,0.539784968,0.748159826,0.527927101,0.794835806,0.828230917,0.608296454,0.510341108,0.85742563,0.848151863,0.759200871,0.793643355,0.615842998,0.616499186,1.136681557,1.157562971,0.699292243,0.616499186,0.507944882,0.60738492,0.866249263,0.673983037,0.797888279,0.561720788,1.096248507,0.564614654,0.782415152,0.330357134,0.798795462,0.787368417,0.589610755,0.718793452,0.858886898,0.809987545,0.736346602,0.758830428,0.76106143,0.775934577,0.687295258,0.645763218,0.849908113,0.840889871,0.67584312,0.697663546
0.82188338,0.827997208,0.51214689,0.486870319,0.876217127,0.867336452,0.767496228,0.786866069,0.834384859,0.770039737,0.480712563,0.867262661,0.880300581,0.78531754,0.787066221,0.759990633,0.803890646,0.80462724,0.585054219,0.608517349,0.85272944,0.86103189,0.761070192,0.776115894,0.622736275,0.640336514,1.071781516,1.038831353,0.738741696,0.616499186,0.521322608,0.593129218,0.837339759,0.683289409,0.803844273,0.572783172,0.884749711,0.661419153,0.791878164,0.513157904,0.8074494,0.81520468,0.562913954,0.594113231,0.862578571,0.852773428,0.754239261,0.769590616,0.780583322,0.797663569,0.643570006,0.584674597,0.855516851,0.847314119,0.70290488,0.748130858
0.83140552,0.821920991,0.482307941,0.499210179,0.879535377,0.860465109,0.787358344,0.786866069,0.844841659,0.80439353,0.452565491,0.726796865,0.886476398,0.818379164,0.80377382,0.792942286,0.81072551,0.793409705,0.562243879,0.598776221,0.858521342,0.837172747,0.769248724,0.747370899,0.633602083,0.643140912,1.040572643,0.978158116,0.752381742,0.616499186,0.530552626,0.559476495,0.804233789,0.697512448,0.810983479,0.586889088,1.238628149,0.501644731,0.737812936,0.263157904,0.83703661,0.852163732,0.478510082,0.42739597,0.879691422,0.880200505,0.793532908,0.821520448,0.788006306,0.754205585,0.610015512,0.679534137,0.862637758,0.82341212,0.71833539,0.675467312
0.839467227,0.820518792,0.459898412,0.508374393,0.884286821,0.853720069,0.798224092,0.791072667,0.844082236,0.798784792,0.447338223,0.746911347,0.882687986,0.815637052,0.805701613,0.789904177,0.846360505,0.853704154,0.453758359,0.455315769,0.862941504,0.825294733,0.774973691,0.719794333,0.634711981,0.64641273,1.020767093,0.948744535,0.757593453,0.616499186,0.530377388,0.558541715,0.77600646,0.709160089,0.811472833,0.606906652,0.866409242,0.673637211,0.794871807,0.51715225,0.851654768,0.865029216,0.446929187,0.395779163,0.886532962,0.897435904,0.814115286,0.835087717,0.796598256,0.829205632,0.591228664,0.509080172,0.865678847,0.868882,0.730784953,0.78808409
0.848288357,0.84342134,0.43342337,0.459734917,0.888703346,0.870191097,0.808388829,0.819350302,0.852143943,0.827763498,0.432008207,0.634727597,0.890113413,0.842105269,0.816275239,0.815143704,0.856291592,0.856274843,0.421840996,0.443556726,0.885485113,0.883755207,0.818962514,0.840383291,0.637107134,0.635662556,1.007750392,0.954889178,0.770160973,0.634098172,0.52833277,0.591960728,0.742536783,0.724378109,0.822437823,0.625168264,1.017717719,0.592575192,0.726877451,0.432095855,0.853701293,0.860116959,0.431174546,0.407244533,0.888000488,0.879980326,0.818266869,0.836959064,0.801157296,0.824299037,0.581019104,0.511717618,0.866886914,0.878313899,0.736162245,0.774065435
0.849223018,0.848095357,0.430253148,0.452058971,0.888003051,0.874376893,0.813354373,0.819817722,0.855765879,0.807899058,0.424326569,0.646041095,0.890470743,0.827469051,0.82211709,0.796915174,0.862542331,0.86258471,0.408561587,0.431297183,0.892094433,0.889593005,0.834560096,0.853003025,0.645694613,0.652956307,0.9612481,0.995790243,0.808508754,0.67007339,0.525119781,0.600140214,0.728327215,0.727304637,0.822405219,0.637225628,0.830429018,0.698778212,0.792024553,0.606672943,0.854870796,0.85543859,0.421956986,0.415455312,0.88834095,0.885427117,0.821541369,0.824327469,0.806534588,0.822196245,0.568528473,0.522290528,0.868733764,0.853904307,0.743468344,0.792056084
0.854071736,0.846926868,0.419159412,0.450049877,0.891845345,0.87382251,0.816508949,0.82379061,0.858453095,0.82449168,0.41525802,0.588128924,0.892651439,0.840116262,0.823869586,0.810469747,0.864995897,0.86164993,0.396173656,0.427418232,0.89403069,0.890900195,0.840810835,0.851133466,0.673676848,0.678429544,0.87644434,0.862208843,0.839996338,0.67381078,0.540074766,0.495676547,0.710783243,0.739362001,0.826954603,0.650043905,0.80609262,0.70629698,0.828114808,0.596569538,0.86475265,0.862456143,0.400597215,0.395118415,0.895017922,0.885545135,0.833001971,0.839766085,0.83692795,0.862850487,0.485161543,0.414905638,0.884527147,0.889441013,0.78888303,0.83644861
